Link,Name,Price,Color,Car_Description,Drived
https://www.carpages.ca/used-cars/ontario/mississauga/2017-ford-transit-11260865/,2017 Ford Transit,"$17,985",Green,"CERTIFIED, SHELVES, LADDER RACKS, DIVIDER, CAMERA","201,000KM"
https://www.carpages.ca/used-cars/ontario/concord/2022-ford-mustang-11260859/,2022 Ford Mustang,"$71,500",Gray,Mach 1,625KM
https://www.carpages.ca/used-cars/saskatchewan/saskatoon/2013-ford-f-150-11260853/,2013 Ford F-150,"$21,995",Red,"4WD SUPERCREW 145"" FX4","213,859KM"
https://www.carpages.ca/used-cars/ontario/gloucester/2010-toyota-prius-11260850/,2010 Toyota Prius,"$6,995",White,Hybrid,"298,066KM"
https://www.carpages.ca/used-cars/ontario/dunnville/2012-toyota-camry-11260844/,2012 Toyota Camry,"$10,599",Silver,SE,"236,000KM"
https://www.carpages.ca/used-cars/ontario/north-york/2018-bmw-4-series-11260841/,2018 BMW 4 Series,"$29,990",Grey,440i xDrive Gran Coupe,"147,315KM"
https://www.carpages.ca/used-cars/ontario/pembroke/2020-toyota-tacoma-11260838/,2020 Toyota Tacoma,"$45,904",Cement Gray,TRD SPORT 4X4,"71,121KM"
https://www.carpages.ca/used-cars/ontario/pembroke/2021-toyota-highlander-11260835/,2021 Toyota Highlander,"$47,904",White,PLATINUM AWD,"43,373KM"
https://www.carpages.ca/used-cars/ontario/oshawa/2015-toyota-tundra-11260832/,2015 Toyota Tundra,"$24,999",Blue,SR,"195,916KM"
https://www.carpages.ca/used-cars/ontario/pembroke/2020-toyota-tacoma-11260820/,2020 Toyota Tacoma,"$45,904",Cement Gray,TRD SPORT 4X4,"71,121KM"
https://www.carpages.ca/used-cars/ontario/pembroke/2021-toyota-highlander-11260817/,2021 Toyota Highlander,"$47,904",White,PLATINUM AWD,"43,373KM"
https://www.carpages.ca/used-cars/nova-scotia/truro/2020-ford-f-250-11260814/,2020 Ford F-250,"$74,995",Black,Lariat 4WD Crew Cab 6.75' Box,"115,847KM"
https://www.carpages.ca/used-cars/ontario/guelph/2010-audi-s4-11260811/,2010 Audi S4,"$6,500",Black,Sedan quattro SOLD AS IS – NOT INSPECTED,"357,600KM"
https://www.carpages.ca/used-cars/ontario/brantford/2008-mercedes-benz-c-class-11260808/,2008 Mercedes-Benz C-Class,"$6,999",Black,4DR SDN 2.5L RWD,"210,000KM"
https://www.carpages.ca/used-cars/ontario/cayuga/2021-honda-hr-v-11260805/,2021 Honda HR-V,"$27,495",White,LX,"11,001KM"
https://www.carpages.ca/used-cars/ontario/cayuga/2023-honda-odyssey-11260802/,2023 Honda Odyssey,"$54,995",White,Touring,"39,288KM"
https://www.carpages.ca/used-cars/ontario/cayuga/2020-toyota-c-hr-11260796/,2020 Toyota C-HR,"$22,995",White,XLE Premium,"107,782KM"
https://www.carpages.ca/used-cars/ontario/orleans/2007-pontiac-solstice-11260793/,2007 Pontiac Solstice,"$15,900",Grey,"5SPD, LEATHER, A/C, MONSOON STEREO, XM RADIO!","58,695KM"
https://www.carpages.ca/used-cars/saskatchewan/swift-current/2019-ram-1500-11260790/,2019 RAM 1500,"$43,995",,Limited,"100,837KM"
https://www.carpages.ca/used-cars/ontario/midland/2021-hyundai-santa-fe-11260787/,2021 Hyundai Santa Fe,"$36,978",QUARTZ WHITE,Ultimate Caligraphy AWD  Tan Interior | Moonroof | Cooled Seats,"51,957KM"
https://www.carpages.ca/new-cars/ontario/midland/2024-hyundai-venue-11260784/,2024 Hyundai Venue,"$25,810",Shimmering Silver,Preferred  - Heated Seats -  Apple CarPlay,11KM
https://www.carpages.ca/new-cars/ontario/midland/2024-hyundai-tucson-11260781/,2024 Hyundai Tucson,"$39,610",Ultimate Red,Trend  - Sunroof -  Navigation,9KM
https://www.carpages.ca/new-cars/ontario/midland/2024-hyundai-tucson-hybrid-11260775/,2024 Hyundai Tucson Hybrid,"$43,510",Titan Grey,N-Line  - Leather Seats,9KM
https://www.carpages.ca/used-cars/ontario/brantford/2013-hyundai-elantra-11260772/,2013 Hyundai Elantra,"$9,599",Grey,4dr Sdn Auto GLS,"165,000KM"
https://www.carpages.ca/new-cars/ontario/midland/2024-hyundai-venue-11260769/,2024 Hyundai Venue,"$26,160",Shimmering Silver w/Black Roof,Preferred w/Two-Tone  - Heated Seats,CALL
https://www.carpages.ca/new-cars/ontario/midland/2024-hyundai-tucson-11260766/,2024 Hyundai Tucson,"$39,610",ASH BLACK,Trend  - Sunroof -  Navigation,8KM
https://www.carpages.ca/used-cars/ontario/midland/2016-jeep-cherokee-11260763/,2016 Jeep Cherokee,"$21,798",Granite Crystal Metallic Clearcoat,Limited  Low KM | Moonroof | Remote Start,"70,404KM"
https://www.carpages.ca/used-cars/ontario/welland/2021-kia-seltos-11260760/,2021 Kia Seltos,"$20,999",Gray,Shadow Auto,"78,970KM"
https://www.carpages.ca/used-cars/ontario/midland/2021-nissan-rogue-11260757/,2021 Nissan Rogue,"$25,978",Super Black,S  Heated Steering Wheel | SXM | BT,"61,413KM"
https://www.carpages.ca/used-cars/ontario/midland/2020-nissan-kicks-11260754/,2020 Nissan Kicks,"$23,478",Cayenne Red/Super Black,SR  Low KM | Bose Sound | Remote Start,"24,250KM"
https://www.carpages.ca/new-cars/ontario/midland/2024-ford-f-150-11260742/,2024 Ford F-150,"$70,334",Oxford White,XLT,90KM
https://www.carpages.ca/new-cars/ontario/midland/2023-ford-mustang-mach-e-11260739/,2023 Ford Mustang Mach-E,"$68,952",SHADOW BLACK,GT Performance Edition,90KM
https://www.carpages.ca/new-cars/ontario/midland/2024-ford-f-150-11260736/,2024 Ford F-150,"$69,434",Agate Black,Tremor,90KM
https://www.carpages.ca/used-cars/ontario/hamilton/2018-jeep-renegade-11260733/,2018 Jeep Renegade,"$22,495",Red,"Limited *AWD,NAV,BACKUP CAM, HEATED LEATHER SEATS*","84,414KM"
https://www.carpages.ca/new-cars/ontario/midland/2024-ford-f-250-11260730/,2024 Ford F-250,"$100,522",Agate Black,Super Duty XLT,90KM
https://www.carpages.ca/new-cars/ontario/midland/2024-ford-f-150-11260727/,2024 Ford F-150,"$96,308",Antimatter Blue Metallic,PLATINUM,90KM
https://www.carpages.ca/new-cars/ontario/midland/2024-ford-bronco-11260724/,2024 Ford Bronco,"$67,537",Oxford White,Outer Banks,90KM
https://www.carpages.ca/new-cars/ontario/midland/2024-ford-f-150-11260721/,2024 Ford F-150,"$100,693",STAR WHITE METALLIC TRI-COAT,PLATINUM,90KM
https://www.carpages.ca/new-cars/ontario/midland/2024-ford-f-150-11260718/,2024 Ford F-150,"$80,221",Antimatter Blue Metallic,Tremor,90KM
https://www.carpages.ca/used-cars/ontario/welland/2016-audi-a4-11260715/,2016 Audi A4,"$15,999",Blue,Shadow Auto,"161,280KM"
https://www.carpages.ca/used-cars/ontario/north-bay/2022-subaru-ascent-11260709/,2022 Subaru ASCENT,"$43,465",Crystal White Tricoat,Premier  - Sunroof -  Leather Seats,"39,880KM"
https://www.carpages.ca/used-cars/ontario/oshawa/2013-ford-escape-11260703/,2013 Ford Escape,"$8,999",Black,SE,"207,007KM"
https://www.carpages.ca/new-cars/new-brunswick/richibucto/2024-ford-f-150-11260697/,2024 Ford F-150,"$76,845",Rapid Red Metallic Tinted Clearcoat,XLT,CALL
https://www.carpages.ca/new-cars/alberta/slave-lake/2024-ford-maverick-11260694/,2024 Ford MAVERICK,"$40,229",TERRAIN,XLT,CALL
https://www.carpages.ca/used-cars/ontario/ajax/2015-mazda-mazda3-11260691/,2015 Mazda MAZDA3,"$5,999",Blue,"""Like NEW low PRICE"" certified + FREE 6M warranty","302,575KM"
https://www.carpages.ca/used-cars/ontario/paris/2016-hyundai-elantra-11260676/,2016 Hyundai Elantra,"$6,999",Black,4dr Sdn Auto Limited,"239,700KM"
https://www.carpages.ca/used-cars/ontario/guelph/2012-audi-tt-11260673/,2012 Audi TT,"$15,900",Orange,Quattro Certified!Navigation!WeApproveAllCredit!,"215,000KM"
https://www.carpages.ca/used-cars/ontario/guelph/2017-gmc-terrain-11260670/,2017 GMC Terrain,"$13,700",Black,SLE-2 Certified!BackUPCamera!WeApproveAllCredit!,"150,000KM"
https://www.carpages.ca/used-cars/ontario/ajax/2005-mini-cooper-11260667/,2005 MINI Cooper,"$5,999",Silver,"""S-Type SPORT car"" certified + FREE 6M warranty","223,414KM"
https://www.carpages.ca/used-cars/ontario/ajax/2008-porsche-cayenne-11260664/,2008 Porsche Cayenne,"$7,999",Gray,"""WOW 4X4 LUXURY SUV"" certified + FREE 6M warranty","235,404KM"
https://www.carpages.ca/used-cars/ontario/oakville/2017-hyundai-tucson-11260661/,2017 Hyundai Tucson,"$16,777",Grey,AUTO 2.0L Premium SUV NO ACCIDENT CAERA B-TOOTH,"131,583KM"
https://www.carpages.ca/used-cars/ontario/orleans/2016-audi-a3-11260658/,2016 Audi A3,"$17,900",White,"PROGRESSIV, S-LINE, AWD, 19 INCH WHEELS, LOADED!","128,873KM"
